feature	without_phage	t40_Rif	t90_Rif	t140_Rif	t190_Rif	t40	t90	t140	t190	time_class
g011	0.218948000259809	16044.2934982633	13445.1401566859	10349.4389756046	9764.14999294479	13590.5386859495	10719.9739012326	2332.08743912108	1373.21726386452	early
g031	0.161961534438763	20838.5251493232	20502.6590072798	17096.8577110395	12779.9593477057	12203.1271584585	15048.7554708626	4643.57030148157	1581.65872363648	early
g038	0.0815392552691702	22709.9260979349	12049.5370474924	5082.29898357986	4326.77309690369	17454.0886545947	13003.4926625299	2314.38714893318	857.535923372141	early
g044	0.187669714508408	18855.6901737478	17563.7907475863	11358.9971547228	9075.88910885583	8189.5657420728	15097.3015210209	4193.97116644823	1429.81200175938	early
g055	0.0669869235922362	8701.98253551467	9987.52890731468	8950.13295629162	6481.9495647432	3548.92390408725	6255.71099175379	2782.15268573145	768.498787570901	early
g087	0.126451251486948	0.110391029103576	5.92454808042365	76.1146315920213	285.835260590658	0.143829824199531	443.330864159717	8369.39279464913	12277.4399773495	late
g016	0.229576543961741	37257.0280538503	30441.3784598653	24228.9403331209	22912.7610440497	27666.7656563492	25591.1916977575	6445.7706125115	2861.08718153567	early
g037	0.145965333506539	34492.236494245	21167.4820773247	11358.6611294845	9369.2800780345	25068.1502226071	20528.111656463	4002.71831464492	1620.41120893187	early
g082	0.482579265878763	0.421288213109566	5.38333571933539	116.191315164963	613.729250493189	0.274450786992984	193.073064157204	8305.56075641266	19916.2605715382	late
g109	0.369474750438428	1.61274394081006	103.040410252904	606.25191689081	1308.27975984039	0.210126383791503	2239.34654854652	4793.25942915392	3668.62670484779	middle
g086	0.0370632978496228	0.0323559912889792	4.77539004758286	67.5080776070913	291.250102041453	0.0421570174377937	314.026028779799	7588.33191133096	13093.9698402623	late
g108	0.454738154385757	2.38189874335024	293.712726333201	1633.69845088471	3533.30849322396	0.775851263230165	11898.4167356904	38363.1302438642	25301.5751674603	middle
g056	0.0585306535348004	12904.6085620423	15497.6041667029	9880.95853782618	7340.4383938551	4715.95173026177	11280.8373752723	4362.49129500106	1310.36619144457	early
g105	0.0481596416050089	1.68172076923574	161.171150864013	941.150211833499	2386.99121627662	0.766897107442716	5925.01381561535	10045.8196569858	6255.7045789515	middle
g010	0.268708909409765	13657.0675621848	11783.0268702004	9183.21531838217	8863.18210104995	9562.66070236604	7789.98108487756	1852.23797609119	865.054037246142	early
g090	0.160314467986843	0.0699766862453177	19.2248955265079	231.214979718432	782.104025045867	0.0911734817807199	1541.66518529517	21563.4686155601	17978.4351902241	late
g113	0.281504571762612	162250.518870781	130034.878050725	134465.010729604	145145.719790466	98241.969164929	90157.9660717156	39735.5710887821	18297.4920937625	early
g046	0.098321763110434	15404.6189736827	16205.2977091926	10353.2420974986	7570.05242425502	6664.35266161651	10662.8045779901	3926.32576118815	1115.79032987639	early
g094	0.0293015911128369	0.0255800773759216	23.6980175253271	197.150776166245	635.193392103529	0.0666571923799563	868.042186941424	4523.89704256967	4122.6055163753	middle
g001	0.268708909409765	15771.3455459697	11013.2588017511	8859.21870547944	9058.91936132799	13675.1778763392	8572.37669290389	1601.56611991474	1001.62714069517	early
g043	0.381393290775151	26364.5968947827	20392.5879900158	12691.1491268728	10293.897928635	14136.3270305483	19821.8890821262	4718.68731708921	1710.49441460341	early
