feature	without_phage	t40_Rif	t90_Rif	t140_Rif	t190_Rif	t40	t90	t140	t190
g011	1	83940	55048	49866	40957	109144	54213	12354	6170
g031	1	147382	113479	111361	72469	132484	102882	33254	9607
g038	0	319035	132471	65754	48734	376387	176581	32921	10346
g044	0	115090	83896	63852	44415	76731	89075	25920	7495
g055	1	148805	133655	140951	88869	93156	103404	48172	11286
g087	0	1	42	635	2076	2	3882	76767	95515
g016	1	185896	118865	111336	91661	211902	123428	32565	12260
g037	0	270683	129998	82093	58951	301979	155722	31806	10921
g082	0	0	10	254	1168	1	443	19962	40600
g109	0	5	250	1731	3252	1	6711	15047	9768
g086	2	2	231	3843	14434	4	18763	474937	695095
g108	0	6	579	3790	7136	3	28972	97849	54736
g056	0	252552	237355	178092	115179	141674	213407	86448	22024
g105	0	40	3000	20616	45520	28	136225	241939	127785
g010	0	58219	39309	36053	30293	62575	32100	7995	3167
g090	2	1	215	3043	8961	2	21296	312018	220646
g113	2	1320444	828174	1007819	947073	1227286	709250	327437	127886
g046	2	358939	295498	222170	141421	238365	240161	92634	22328
g094	1	0	725	7098	19909	4	32802	179071	138410
g001	0	67232	36741	34781	30962	89486	35324	6913	3667
g043	0	79184	47931	35104	24788	65173	57547	14350	4412
g104	0	8	811	5885	13571	7	38579	77165	42073
g014	0	78898	50627	44658	36550	93125	59625	14039	5426
g068	0	0	391	3842	12334	1	21915	176643	145082
g071	1	3	662	5440	14976	10	46034	259581	290582
g029	1	335111	242747	210048	152068	296384	233407	80023	22124
g080	0	0	16	502	2156	2	529	33582	67493
g074	0	4	244	1395	3072	2	14226	44197	40117
g053	0	66831	71579	77858	57392	31815	50178	23825	5453
g107	2	20	1096	7523	15866	7	46614	84463	35795
g076	0	0	20	457	1833	0	302	19729	43383
g030	0	287633	198199	195138	140655	247034	191569	62532	17796
g075	1	35	991	5440	10128	9	69336	172856	152412
g059	0	93137	83309	65129	42777	61426	89103	28810	8863
g035	0	491279	558791	748102	534206	308820	345709	219852	49025
g041	2	886041	403287	208238	149952	911470	515374	120276	34267
g036	1	411442	243556	170194	105881	348776	267800	72239	19832
g007	0	112353	77540	72401	67018	105118	58917	17247	7165
g096	2	0	569	3935	9968	9	51314	261669	198420
g102	3	5	809	5640	13382	5	49141	115497	68718
g002	3	246942	107673	77612	65194	338055	116136	22778	10308
g061	0	207824	204349	168554	110912	158766	203219	92689	24289
g072	0	2	226	1539	3708	6	19213	86094	83605
g063	4	210206	213776	205644	132818	148165	186241	106787	23604
g091	6	14	620	8736	28869	18	80719	2195800	3349668
g089	2	3	222	3167	9280	2	20342	338704	355993
g039	0	265010	105773	42548	31720	338461	160748	25831	8183
g003	0	22751	16837	16809	15341	22064	19367	3041	1793
g077	0	0	24	555	2012	0	382	21718	50275
g085	1	0	74	1393	5741	0	4168	127225	221729
g083	0	1	24	549	2213	0	946	40937	77739
g069	0	1	365	3401	10523	4	22565	137580	121882
g097	0	1	385	2711	6626	6	29186	131748	99249
g047	0	123235	103529	90669	57834	66561	87717	35259	7183
